,run,database,workload,record_nbr,records,type,throughput,throughput_value,runtime,runtime_value
146,run-6,Mongodb,workload d,1000000,1M,OVERALL,Throughput(ops/sec),2.665678588469874,RunTime(ms),375.139
147,run-7,Mongodb,workload d,1000000,1M,OVERALL,Throughput(ops/sec),2.18605515417154,RunTime(ms),457.445
148,run-8,Mongodb,workload d,1000000,1M,OVERALL,Throughput(ops/sec),2.5979694270957823,RunTime(ms),384.916
149,run-9,Mongodb,workload d,1000000,1M,OVERALL,Throughput(ops/sec),2.6047907311126623,RunTime(ms),383.908
150,run-1,Mongodb,workload f,100,100,OVERALL,Throughput(ops/sec),0.06993006993006994,RunTime(ms),1.43
151,run-10,Mongodb,workload f,100,100,OVERALL,Throughput(ops/sec),0.06389776357827476,RunTime(ms),1.565
152,run-2,Mongodb,workload f,100,100,OVERALL,Throughput(ops/sec),0.06868131868131869,RunTime(ms),1.456
153,run-3,Mongodb,workload f,100,100,OVERALL,Throughput(ops/sec),0.0671591672263264,RunTime(ms),1.489
154,run-4,Mongodb,workload f,100,100,OVERALL,Throughput(ops/sec),0.06756756756756757,RunTime(ms),1.48
155,run-5,Mongodb,workload f,100,100,OVERALL,Throughput(ops/sec),0.06747638326585695,RunTime(ms),1.482
156,run-6,Mongodb,workload f,100,100,OVERALL,Throughput(ops/sec),0.07199424046076314,RunTime(ms),1.389
157,run-7,Mongodb,workload f,100,100,OVERALL,Throughput(ops/sec),0.06105006105006105,RunTime(ms),1.638
158,run-8,Mongodb,workload f,100,100,OVERALL,Throughput(ops/sec),0.048828125,RunTime(ms),2.048
159,run-9,Mongodb,workload f,100,100,OVERALL,Throughput(ops/sec),0.058788947677836566,RunTime(ms),1.701
180,run-1,Mongodb,workload f,1000,1k,OVERALL,Throughput(ops/sec),0.30367446097783174,RunTime(ms),3.293
181,run-10,Mongodb,workload f,1000,1k,OVERALL,Throughput(ops/sec),0.30211480362537757,RunTime(ms),3.31
182,run-2,Mongodb,workload f,1000,1k,OVERALL,Throughput(ops/sec),0.3669724770642202,RunTime(ms),2.725
183,run-3,Mongodb,workload f,1000,1k,OVERALL,Throughput(ops/sec),0.275709953129308,RunTime(ms),3.627
184,run-4,Mongodb,workload f,1000,1k,OVERALL,Throughput(ops/sec),0.3897116134060795,RunTime(ms),2.566
185,run-5,Mongodb,workload f,1000,1k,OVERALL,Throughput(ops/sec),0.35984166966534725,RunTime(ms),2.779
186,run-6,Mongodb,workload f,1000,1k,OVERALL,Throughput(ops/sec),0.3935458480913026,RunTime(ms),2.541
187,run-7,Mongodb,workload f,1000,1k,OVERALL,Throughput(ops/sec),0.3473428273706148,RunTime(ms),2.879
188,run-8,Mongodb,workload f,1000,1k,OVERALL,Throughput(ops/sec),0.19234468166955185,RunTime(ms),5.199
189,run-9,Mongodb,workload f,1000,1k,OVERALL,Throughput(ops/sec),0.2898550724637681,RunTime(ms),3.45
170,run-1,Mongodb,workload f,10000,10k,OVERALL,Throughput(ops/sec),0.5375477073590281,RunTime(ms),18.603
171,run-10,Mongodb,workload f,10000,10k,OVERALL,Throughput(ops/sec),0.5754733268113023,RunTime(ms),17.377
172,run-2,Mongodb,workload f,10000,10k,OVERALL,Throughput(ops/sec),0.7482229704451927,RunTime(ms),13.365
173,run-3,Mongodb,workload f,10000,10k,OVERALL,Throughput(ops/sec),0.7883948281299274,RunTime(ms),12.684
174,run-4,Mongodb,workload f,10000,10k,OVERALL,Throughput(ops/sec),0.7868439688409787,RunTime(ms),12.709
175,run-5,Mongodb,workload f,10000,10k,OVERALL,Throughput(ops/sec),0.7369739848183359,RunTime(ms),13.569
176,run-6,Mongodb,workload f,10000,10k,OVERALL,Throughput(ops/sec),0.7200460829493088,RunTime(ms),13.888
177,run-7,Mongodb,workload f,10000,10k,OVERALL,Throughput(ops/sec),0.7401924500370096,RunTime(ms),13.51
178,run-8,Mongodb,workload f,10000,10k,OVERALL,Throughput(ops/sec),0.7727975270479135,RunTime(ms),12.94
179,run-9,Mongodb,workload f,10000,10k,OVERALL,Throughput(ops/sec),0.6474168069403082,RunTime(ms),15.446
160,run-1,Mongodb,workload f,100000,100K,OVERALL,Throughput(ops/sec),1.0121457489878543,RunTime(ms),98.8
161,run-10,Mongodb,workload f,100000,100K,OVERALL,Throughput(ops/sec),0.9671928195605077,RunTime(ms),103.392
162,run-2,Mongodb,workload f,100000,100K,OVERALL,Throughput(ops/sec),0.929281665272744,RunTime(ms),107.61
163,run-3,Mongodb,workload f,100000,100K,OVERALL,Throughput(ops/sec),0.9714868606402101,RunTime(ms),102.935
164,run-4,Mongodb,workload f,100000,100K,OVERALL,Throughput(ops/sec),0.9084549905974907,RunTime(ms),110.077
165,run-5,Mongodb,workload f,100000,100K,OVERALL,Throughput(ops/sec),1.1667113906033064,RunTime(ms),85.711
166,run-6,Mongodb,workload f,100000,100K,OVERALL,Throughput(ops/sec),0.9630385793254879,RunTime(ms),103.838
